,AAPL,ABBV,0ABT,0ACN,ADBE,0AMD,AMGN,AMZN,AVGO,0BAC,0BMY,COST,0CRM,CSCO,0CVX,0DHR,0DIS,GOOG,00HD,0HON,INTC,0JPM,00KO,0LIN,0LLY,00MA,0MCD,META,0MRK,MSFT,0NEE,NFLX,0NKE,NVDA,ORCL,0PEP,0PFE,00PG,00PM,0TMO,TSLA,0TXN,0UNH,0UPS,000V,00VZ,0WFC,0WMT,0XOM
AAPL,0.0,0.7202255677202309,0.5572332735442767,0.5701192199891181,0.593401255472018,0.6014148159642374,0.7448430906376559,0.4435291472748679,0.4902491573955928,0.608548199305218,0.6561604589198338,0.7644746657200521,0.5579985516834318,0.5438156802374647,0.7226442036866277,0.6058838383411307,0.7937659088572468,0.5620179549293256,0.5595955010568361,0.5078815782625226,0.49734020053963746,0.5908232677077718,0.8757580875255154,0.6799458393117457,0.807012832874072,0.5471025274575327,0.9292140628629814,0.6378444071931682,0.8027194553521644,0.5021701927279243,1.0084557337421196,0.6678037250659545,0.5500564600394607,0.4653837733651902,0.6203422524527289,0.7914136382216893,0.7728996743313111,0.8730698013688611,0.8897005708707885,0.5635823457276268,0.6756659889894703,0.49606840651255724,0.7939838059370875,0.5927559447367818,0.536923656366695,0.9772644477638389,0.6778215752230415,0.8545122707102413,0.6400905515830762
ABBV,0.7202255677202309,0.0,0.6247440075748192,0.6976010758114297,0.7211987925621675,0.793959780293365,0.7306976610983666,0.719072006899251,0.8067195814153181,0.7293999927596884,0.7007604432521641,0.8472049329276258,0.61110269210586,0.7158263715601745,0.8155497178663534,0.7402089321465335,0.8114362769843819,0.6991138641563786,0.6965678470136475,0.7018117783001128,0.7591911209372022,0.7059019740641681,0.8524097646405875,0.753431334301548,0.8135378767438015,0.715682132559922,0.8794857946900647,0.7765094089655333,0.7066803004450763,0.6712206659528697,0.8420588410332694,0.8382299753336121,0.6587356515384046,0.7247172055556265,0.7117140145456953,0.7981259734634925,0.6813502113990246,0.8222291583369927,0.9044353277402845,0.657524274161724,0.9126592146163095,0.7892021046861172,0.7621148621336663,0.6865590696233012,0.7347132224719797,0.7601870268102505,0.7465231385447435,0.8594325260018635,0.7629988729920459
0ABT,0.5572332735442767,0.6247440075748192,0.0,0.4687902649049259,0.5300141716704263,0.6378407537919156,0.6855534940972217,0.5164605311087399,0.6090427150183322,0.6209543704797356,0.6931986966951511,0.6640791933159951,0.5445567584176765,0.5441427529507132,0.7348382047834798,0.42965204039333726,0.7614909365031076,0.6425435600611552,0.6036442007352086,0.5314204111430569,0.6924530045592089,0.6359635011845766,0.7237134636811027,0.56012643283789,0.6186959960286358,0.48051442043946946,0.6465166390618882,0.6588637136472846,0.44793407394246587,0.43286327903729094,0.7734253286185451,0.7370704258055019,0.6066666306451249,0.5508699148741875,0.6562628572838554,0.742952755395597,0.5392312672541681,0.7741933448700316,0.8765782225349004,0.40105585355109497,0.7761826852761817,0.5993184176978658,0.6129331348106082,0.693092406306699,0.4928803182198913,0.8060268301754753,0.678659424185499,0.8157946011602968,0.7268303584703748
0ACN,0.5701192199891181,0.6976010758114297,0.4687902649049259,0.0,0.5206614202729367,0.6677079937896222,0.7976527183701733,0.5485680446494798,0.6510800433144157,0.6930837037305363,0.7884750503817781,0.6595142361134405,0.5595494011942943,0.5590417156901204,0.7528102696776414,0.5623034249725984,0.6603382310887005,0.6371880464471384,0.5960385650067808,0.5238600124867232,0.739941160181893,0.6381223409466044,0.7383936705348244,0.58140896963513,0.7645051033315807,0.40743439006022797,0.685754461958268,0.7774198273793623,0.6349170069763583,0.4418620769411682,0.7952638684063298,0.729875653191429,0.5886451453242845,0.6487561092376202,0.6435496731064987,0.7292406518607009,0.7569935218738332,0.6676387555646113,0.9241512148030789,0.5344251824103252,0.8175370700681249,0.6474259403378056,0.7888229633238607,0.6859472708500711,0.3983324973982679,0.7684361997907275,0.7421786432730029,0.7683538762281814,0.7273321897033987
ADBE,0.593401255472018,0.7211987925621675,0.5300141716704263,0.5206614202729367,0.0,0.6024542511560038,0.7584488566611326,0.4939214918887994,0.7323356401064142,0.6824418417592819,0.7232324647856596,0.6828566903036616,0.39125182914402756,0.5797304559835037,0.7025077742944605,0.6026914368250434,0.7915216168343804,0.5293942279632153,0.6919504997719852,0.5384659625766905,0.7053063802652271,0.6879077602869289,0.7543954012600111,0.7038595112736071,0.6774213097935033,0.3857368842303702,0.7865661909223145,0.6620304137940242,0.694530563879614,0.40615446645364084,0.8679855655222927,0.5609070502746549,0.663524460281667,0.5754324494752657,0.5758470710359659,0.7428352918084752,0.6571351306226816,0.8270928918806933,0.9889044803879328,0.5785199528974648,0.756178911209352,0.6370803909583018,0.742936818882439,0.69020373769084,0.40958463468670425,0.8994153449044291,0.7433762249016542,0.7993719172063082,0.6251066741342375
0AMD,0.6014148159642374,0.793959780293365,0.6378407537919156,0.6677079937896222,0.6024542511560038,0.0,0.8731493843183517,0.5062590938497108,0.676739761805176,0.6884738244253423,0.8039412196702129,0.7590423747481894,0.6327990649234405,0.6466709550381856,0.6439664377281514,0.6750325552001073,0.7949336716972233,0.6374681189008886,0.6034773694713287,0.640216580330531,0.6835825708384831,0.6885509991778533,0.9093174188361961,0.6694477539784366,0.7853772671377013,0.5098994749462374,0.8483709814240888,0.6290648299565682,0.8648014532105357,0.5740909152387643,0.9777176232511378,0.6717846274232504,0.6809746291660745,0.5021664234755798,0.6990691040895802,0.7811237847275118,0.7123066414515478,0.9046500496595932,1.0502706404139606,0.6624372206851781,0.7658198010461346,0.5757889738025048,0.8687749533726705,0.6761695031354845,0.5909448848998298,0.8827168081454504,0.7586728730382001,0.8348952671370653,0.6374709983977866
AMGN,0.7448430906376559,0.7306976610983666,0.6855534940972217,0.7976527183701733,0.7584488566611326,0.8731493843183517,0.0,0.7839711554327753,0.7821550777632987,0.7710196781731287,0.8276421985067148,0.7945951502978473,0.7878790850288881,0.7608452749074427,0.8051896116606425,0.6989701751724731,0.9115397643325522,0.8804898753221286,0.852409557570179,0.767372558210031,0.8755142385694733,0.7776803733718383,0.975062732720711,0.7518036362902291,0.7641776045293045,0.8115573897680225,0.8894773568977452,0.8935069542564319,0.6370046021832196,0.7545377277564783,0.9653982139441925,0.8501103841423286,0.7823600491399271,0.7557910381781477,0.8146502646021327,0.9769575307492033,0.7227946785180763,0.9375268772237509,0.9519293932235802,0.6829520439140067,0.9355424997080003,0.794861573677358,0.753578825591391,0.8249370425802569,0.7207747252796368,0.8793472279462924,0.7793374340527361,0.921437174149363,0.8356979449523457
AMZN,0.4435291472748679,0.719072006899251,0.5164605311087399,0.5485680446494798,0.4939214918887994,0.5062590938497108,0.7839711554327753,0.0,0.6515350916546572,0.5916470459882359,0.7567286958625672,0.6689312654652297,0.5137130208197955,0.5362165107972056,0.6892106389262441,0.5989225414560171,0.7526923359716988,0.48904639210537226,0.5669285168005868,0.519572384830786,0.6562765826817809,0.5866958871382169,0.801754197734896,0.7275707943888783,0.7976036744929887,0.4287781750929399,0.7881130980209918,0.4593153610986741,0.7840205133163296,0.40081566611851005,0.9637982581497783,0.5275672379930532,0.5725789459605141,0.4655546108257257,0.5881126080647145,0.7490449730768014,0.6697151545858309,0.8638452935347087,0.9718733469095655,0.5521276610877197,0.7417562899068821,0.5448229139787122,0.7374387645807918,0.6109591311727626,0.48965742702858295,0.8890844543685248,0.6504854999006398,0.7413349113706131,0.6594022853755279
AVGO,0.4902491573955928,0.8067195814153181,0.6090427150183322,0.6510800433144157,0.7323356401064142,0.676739761805176,0.7821550777632987,0.6515350916546572,0.0,0.6003967005119389,0.8456003012791822,0.8035519765322021,0.7195701511465749,0.622427510179429,0.6932656462319672,0.7310287060459696,0.7646598411116551,0.7096369276629171,0.6826236924010174,0.5692336336836052,0.5306624460567015,0.5533724710897785,0.9278610333398543,0.7136624227808218,0.8650155471309559,0.6253484110265619,0.8984522735679259,0.7485500284146804,0.9154104258943426,0.615228015154853,1.1514171928313963,0.8276781319436454,0.6396005236927963,0.47849623984886147,0.6242609206142304,0.9289006743598889,0.8151834871916747,0.9457240696884028,0.9502306923968471,0.7081861811951962,0.7366486729857619,0.4122613295883565,0.8927112679447531,0.6440434119019509,0.6369136532096924,0.9871104985757475,0.6790656058614338,0.8595001250106289,0.674612280750412
0BAC,0.608548199305218,0.7293999927596884,0.6209543704797356,0.6930837037305363,0.6824418417592819,0.6884738244253423,0.7710196781731287,0.5916470459882359,0.6003967005119389,0.0,0.7831886311370205,0.7527308798803664,0.6341755570373971,0.61042866215281,0.6279428782927707,0.7249206885780973,0.7393022724848889,0.6135050892066134,0.626701922813325,0.47802579061200323,0.5689320118924641,0.15559456404821703,0.9604285660655115,0.6398033441704203,0.9097878712381784,0.7339880481326,0.9462156120706653,0.8401355475456546,0.8982504788645739,0.5984359390190388,1.2041063065078912,0.6941464752181099,0.5041141031043759,0.5073892997137526,0.6035530077529372,0.970171473162432,0.7928028847541677,0.9794030879319776,0.9059608976352537,0.6385376125180797,0.7644061187722903,0.5353358802887889,0.7340800600459023,0.5728568530587232,0.649235817883314,0.8664548204636852,0.29373109466817193,0.7507516660541996,0.5051579404098231
